APP_VERSION	Έκδοση εφαρμογής: %s
CHECKBOX_ANSI	Κωδικοποίηση ANSI
CHECKBOX_SHOW_ITEM_NAME_ON_GROUP	Εμφάνιση του ονόματος του αντικειμένου στην ομάδα ως σχόλιο.
CHECKBOX_SHOW_ORIGINAL_GOLD_EXP_NAME	Διατήρηση των αρχικών ονομάτων για χρυσό και εμπειρία.
CLOSE	Κλείσιμο
CLOSE_ALERT	Κλείσιμο
COPYRIGHT	Όλα τα δικαιώματα διατηρούνται.
COPYRIGHT_PARAGRAPH	Φτιαγμένο με πολύ καφέ και αγάπη.
EXPORT_BUTTON	Εξαγωγή ομάδας
GROUP_BLOCK_OUTPUT_PLACEHOLDER	Η ομάδα σου θα επεξεργαστεί εδώ σε αυτό το μπλοκ.
GROUP_DESCRIPTION	Κύρια δεδομένα ομάδας: όνομα και VNUM του αντικειμένου.
GROUP_ITEM_SEARCH_PLACEHOLDER	Κάνε κλικ εδώ για αναζήτηση αντικειμένων
GROUP_NAME	Όνομα
GROUP_NAME_PLACEHOLDER	Όνομα ομάδας
GROUP_RESULT_TITLE	Αποτέλεσμα ομάδας
GROUP_TITLE	Ομάδα
GROUP_TYPE	Τύπος
GROUP_TYPE_NONE	Επιλέξτε...
GROUP_TYPE_NORMAL	Κανονικό
GROUP_TYPE_PERCENTAGE	Ποσοστό
GROUP_TYPE_QUEST	Αποστολή
GROUP_TYPE_SPECIAL	Ειδικό
IMPORT_BUTTON	Εισαγωγή
IMPORT_PARAGRAPH	Μπορείς επίσης να εισάγεις την ομάδα σου και να δεις όλα τα πεδία με λεπτομέρεια, συμπεριλαμβανομένων των εικονιδίων.
IMPORT_TEXTAREA_PLACEHOLDER	Επικόλλησε εδώ την ομάδα σου
IMPORT_TITLE	Εισαγωγή
IMPORT_WARNING_ALERT	Παρακαλώ εισάγετε μία ομάδα τη φορά καθώς υποστηρίζεται μόνο η επεξεργασία μίας ομάδας κάθε φορά.
INFO_WARNING	Αυτό το εργαλείο είναι σε <b>beta έκδοση</b>, ενδέχεται να παρουσιαστούν προβλήματα. Για να βοηθήσεις στη βελτίωσή του, ανέφερε τυχόν σφάλματα που εντοπίσεις.
ITEM_ADD_BUTTON	Προσθήκη αντικειμένου
ITEM_AMOUNT	Ποσότητα
ITEM_AMOUNT_PLACEHOLDER	Ποσ.
ITEM_AMOUNT_PLACEHOLDER2	Ποσότητα αντικειμένων.
ITEM_PARAGRAPH	Όλα τα αντικείμενα της ομάδας μπορούν να καθοριστούν και να προβληθούν παρακάτω.
ITEM_PART_PCT	Ποσοστό μέρους
ITEM_PART_PCT_PLACEHOLDER1	%
ITEM_PART_PCT_PLACEHOLDER2	Ποσοστό λήψης μέρους.
ITEM_RARE_PCT	Ποσοστό σπανιότητας
ITEM_RARE_PCT_PLACEHOLDER1	%
ITEM_RARE_PCT_PLACEHOLDER2	Ποσοστό λήψης bonus.
ITEM_SEARCH_PLACEHOLDER	Κάνε κλικ εδώ για αναζήτηση αντικειμένων
ITEM_TITLE	Αντικείμενα
LANGUAGE_AE	Αραβικά
LANGUAGE_CZ	Τσέχικα
LANGUAGE_DE	Γερμανικά
LANGUAGE_EN	Αγγλικά
LANGUAGE_ES	Ισπανικά
LANGUAGE_FR	Γαλλικά
LANGUAGE_GR	Ελληνικά
LANGUAGE_HU	Ουγγρικά
LANGUAGE_IT	Ιταλικά
LANGUAGE_PL	Πολωνικά
LANGUAGE_PT	Πορτογαλικά
LANGUAGE_RO	Ρουμανικά
LANGUAGE_RU	Ρωσικά
LANGUAGE_SELECT	Επιλογή γλώσσας
LANGUAGE_TR	Τουρκικά
M2DEV_FIGURE_TEXT	Φτιαγμένο με αγάπη για την κοινότητα.
MODAL_FAQ_GROUP_TYPE_NORMAL_BODY	Ο τύπος "Κανονικό" είναι ένας τρόπος ομαδοποίησης αντικειμένων όπου λαμβάνεις ένα τυχαίο αντικείμενο από την ομάδα, με βάση το ποσοστό που έχει το καθένα. Όσο μεγαλύτερο το ποσοστό, τόσο πιο συχνά το λαμβάνεις.
MODAL_FAQ_GROUP_TYPE_NORMAL_TITLE	Τι είναι ο τύπος Κανονικό;
MODAL_FAQ_GROUP_TYPE_PCT_BODY	Ο τύπος "Ποσοστό" είναι μία ομαδοποίηση στην οποία λαμβάνεις όλα τα αντικείμενα της ομάδας σύμφωνα με το ποσοστό τους. Αν όλα έχουν 100%, τα λαμβάνεις όλα.
MODAL_FAQ_GROUP_TYPE_PCT_TITLE	Τι είναι ο τύπος Ποσοστό;
MODAL_FAQ_GROUP_TYPE_QUEST_BODY	Ο τύπος "Αποστολή" χρησιμοποιείται κυρίως για αποστολές, π.χ. για είσοδο σε μπουντρούμια (εισιτήρια). Μπορεί επίσης να χρησιμοποιηθεί για ενεργοποίηση λειτουργιών με πολλά αντικείμενα.
MODAL_FAQ_GROUP_TYPE_QUEST_TITLE	Τι είναι ο τύπος Αποστολή;
MODAL_FAQ_GROUP_TYPE_SPECIAL_BODY	Ο τύπος "Ειδικό" χρησιμοποιείται για την αποθήκευση bonus ιδιοτήτων συγκεκριμένων αντικειμένων, όπως φυλαχτά, δαχτυλίδια κ.λπ.
MODAL_FAQ_GROUP_TYPE_SPECIAL_TITLE	Τι είναι ο τύπος Ειδικό;
MODAL_FAQ_TITLE	Τύποι ομάδων
PROTO_VERSION	Έκδοση Proto: %s
RESET_SEARCH_AFTER_ADDING_ITEM	Επαναφορά αναζήτησης μετά την προσθήκη αντικειμένου.
SAVE_GROUP_NAME_LABEL	Αποθήκευση ονόματος εισαγόμενης ομάδας.
SUB_TITLE_PARAGRAPH	Ένα εργαλείο σχεδιασμένο για να εξοικονομεί χρόνο και να διευκολύνει τη διαδικασία.
TABLE_ITEM_AMOUNT	Ποσότητα
TABLE_ITEM_ICON	Εικονίδιο
TABLE_ITEM_PART_PCT	Μέρος %
TABLE_ITEM_POS	Αρ.
TABLE_ITEM_RARE_PCT	Σπάνιο %
TABLE_ITEM_VNUM	Αρ. V
