APP_VERSION	Wersja aplikacji: %s
CHECKBOX_ANSI	Kodowanie ANSI
CHECKBOX_SHOW_ITEM_NAME_ON_GROUP	Pokaż nazwę przedmiotu w grupie jako komentarz.
CHECKBOX_SHOW_ORIGINAL_GOLD_EXP_NAME	Zachowaj oryginalne nazwy złota i doświadczenia.
CLOSE	Zamknij
CLOSE_ALERT	Zamknij
COPYRIGHT	Wszelkie prawa zastrzeżone.
COPYRIGHT_PARAGRAPH	Stworzone z dużą ilością kawy i miłością.
EXPORT_BUTTON	Eksportuj grupę
GROUP_BLOCK_OUTPUT_PLACEHOLDER	Twoja grupa zostanie przetworzona w tym bloku.
GROUP_DESCRIPTION	Główne dane grupy: nazwa i VNUM przedmiotu.
GROUP_ITEM_SEARCH_PLACEHOLDER	Kliknij tutaj, aby wyszukać przedmioty
GROUP_NAME	Nazwa
GROUP_NAME_PLACEHOLDER	Nazwa grupy
GROUP_RESULT_TITLE	Wynik grupy
GROUP_TITLE	Grupa
GROUP_TYPE	Typ
GROUP_TYPE_NONE	Wybierz...
GROUP_TYPE_NORMAL	Zwykły
GROUP_TYPE_PERCENTAGE	Procentowy
GROUP_TYPE_QUEST	Zadanie
GROUP_TYPE_SPECIAL	Specialny
IMPORT_BUTTON	Importuj
IMPORT_PARAGRAPH	Możesz też zaimportować swoją grupę i zobaczyć wszystkie pola ze szczegółami, w tym ikony.
IMPORT_TEXTAREA_PLACEHOLDER	Wklej tutaj swoją grupę
IMPORT_TITLE	Importuj
IMPORT_WARNING_ALERT	Importuj tylko jedną grupę na raz – możliwe jest przetwarzanie tylko jednej grupy.
INFO_WARNING	To narzędzie jest w <b>wersji beta</b>, mogą wystąpić błędy. Aby pomóc w jego rozwoju, zgłaszaj znalezione błędy.
ITEM_ADD_BUTTON	Dodaj przedmiot
ITEM_AMOUNT	Ilość
ITEM_AMOUNT_PLACEHOLDER	Ilość
ITEM_AMOUNT_PLACEHOLDER2	Ilość przedmiotów.
ITEM_PARAGRAPH	Wszystkie przedmioty w grupie można zdefiniować i wyświetlić poniżej.
ITEM_PART_PCT	Procent udziału
ITEM_PART_PCT_PLACEHOLDER1	%
ITEM_PART_PCT_PLACEHOLDER2	Procent szansy na otrzymanie udziału.
ITEM_RARE_PCT	Procent rzadkości
ITEM_RARE_PCT_PLACEHOLDER1	%
ITEM_RARE_PCT_PLACEHOLDER2	Procent szansy na otrzymanie bonusu.
ITEM_SEARCH_PLACEHOLDER	Kliknij tutaj, aby wyszukać przedmioty
ITEM_TITLE	Przedmioty
LANGUAGE_AE	Arabski
LANGUAGE_CZ	Czeski
LANGUAGE_DE	Niemiecki
LANGUAGE_EN	Angielski
LANGUAGE_ES	Hiszpański
LANGUAGE_FR	Francuski
LANGUAGE_GR	Grecki
LANGUAGE_HU	Węgierski
LANGUAGE_IT	Włoski
LANGUAGE_PL	Polski
LANGUAGE_PT	Portugalski
LANGUAGE_RO	Rumuński
LANGUAGE_RU	Rosyjski
LANGUAGE_SELECT	Wybierz język
LANGUAGE_TR	Turecki
M2DEV_FIGURE_TEXT	Stworzone z miłością dla społeczności.
MODAL_FAQ_GROUP_TYPE_NORMAL_BODY	Typ „Zwykły” to grupowanie, w którym otrzymujesz losowy przedmiot na podstawie przypisanego procentu. Im wyższy procent, tym większa szansa na jego otrzymanie.
MODAL_FAQ_GROUP_TYPE_NORMAL_TITLE	Czym jest typ Zwykły?
MODAL_FAQ_GROUP_TYPE_PCT_BODY	Typ „Procentowy” oznacza, że otrzymujesz wszystkie przedmioty z grupy zgodnie z ich procentami. Jeśli wszystkie mają 100%, otrzymasz je wszystkie.
MODAL_FAQ_GROUP_TYPE_PCT_TITLE	Czym jest typ Procentowy?
MODAL_FAQ_GROUP_TYPE_QUEST_BODY	Typ „Zadanie” służy głównie do zadań. Takie grupy zawierają np. bilety wejściowe do lochów. Można je też wykorzystać do uruchamiania funkcji przez wiele przedmiotów.
MODAL_FAQ_GROUP_TYPE_QUEST_TITLE	Czym jest typ Zadanie?
MODAL_FAQ_GROUP_TYPE_SPECIAL_BODY	Typ „Specialny” używany jest do przechowywania wartości bonusowych dla określonych przedmiotów – np. amuletów, pierścieni lub innych przedmiotów z efektami.
MODAL_FAQ_GROUP_TYPE_SPECIAL_TITLE	Czym jest typ Specialny?
MODAL_FAQ_TITLE	Typy grup
PROTO_VERSION	Wersja proto: %s
RESET_SEARCH_AFTER_ADDING_ITEM	Wyczyść pole wyszukiwania po dodaniu przedmiotu.
SAVE_GROUP_NAME_LABEL	Zapisz nazwę zaimportowanej grupy.
SUB_TITLE_PARAGRAPH	Narzędzie stworzone z myślą o oszczędności czasu i wygodzie.
TABLE_ITEM_AMOUNT	Ilość
TABLE_ITEM_ICON	Ikona
TABLE_ITEM_PART_PCT	Udział %
TABLE_ITEM_POS	Poz.
TABLE_ITEM_RARE_PCT	Rzadki %
TABLE_ITEM_VNUM	Nr V.
