APP_VERSION	Versão da App: %s
CHECKBOX_ANSI	Codificação ANSI
CHECKBOX_SHOW_ITEM_NAME_ON_GROUP	Mostrar o nome do item no grupo como comentário.
CHECKBOX_SHOW_ORIGINAL_GOLD_EXP_NAME	Manter os nomes originais de ouro e experiência.
CLOSE	Fechar
CLOSE_ALERT	Fechar
COPYRIGHT	Todos os direitos reservados.
COPYRIGHT_PARAGRAPH	Feito com muito café e carinho.
EXPORT_BUTTON	Exportar Grupo
GROUP_BLOCK_OUTPUT_PLACEHOLDER	O teu grupo será processado aqui neste bloco.
GROUP_DESCRIPTION	Dados principais do grupo, qual é o nome e o vnum do item.
GROUP_ITEM_SEARCH_PLACEHOLDER	Clica aqui para procurar itens
GROUP_NAME	Nome
GROUP_NAME_PLACEHOLDER	Nome do grupo
GROUP_RESULT_TITLE	Resultado do Grupo
GROUP_TITLE	Grupo
GROUP_TYPE	Tipo
GROUP_TYPE_NONE	Escolhe...
GROUP_TYPE_NORMAL	Normal
GROUP_TYPE_PERCENTAGE	Percentagem
GROUP_TYPE_QUEST	Missão
GROUP_TYPE_SPECIAL	Especial
IMPORT_BUTTON	Importar
IMPORT_PARAGRAPH	Podes também importar o teu grupo e ver todos os campos em detalhe, incluindo os ícones.
IMPORT_TEXTAREA_PLACEHOLDER	Cola aqui o teu grupo
IMPORT_TITLE	Importar
IMPORT_WARNING_ALERT	Importa apenas um grupo de cada vez, pois só é possível processar informação de um grupo.
INFO_WARNING	Esta ferramenta está em <b>versão beta</b>, podem ocorrer alguns problemas. Para ajudar a melhorar esta ferramenta, por favor reporta qualquer erro que encontres.
ITEM_ADD_BUTTON	Adicionar Item
ITEM_AMOUNT	Quantidade
ITEM_AMOUNT_PLACEHOLDER	Qt.
ITEM_AMOUNT_PLACEHOLDER2	Quantidade de itens.
ITEM_PARAGRAPH	Todos os itens do grupo podem ser definidos e visualizados abaixo.
ITEM_PART_PCT	Percentagem de Parte
ITEM_PART_PCT_PLACEHOLDER1	%
ITEM_PART_PCT_PLACEHOLDER2	Percentagem de receber parte.
ITEM_RARE_PCT	Percentagem Rara
ITEM_RARE_PCT_PLACEHOLDER1	%
ITEM_RARE_PCT_PLACEHOLDER2	Percentagem de receber bónus.
ITEM_SEARCH_PLACEHOLDER	Clica aqui para procurar itens
ITEM_TITLE	Itens
LANGUAGE_AE	Árabe
LANGUAGE_CZ	Checo
LANGUAGE_DE	Alemão
LANGUAGE_EN	Inglês
LANGUAGE_ES	Espanhol
LANGUAGE_FR	Francês
LANGUAGE_GR	Grego
LANGUAGE_HU	Húngaro
LANGUAGE_IT	Italiano
LANGUAGE_PL	Polaco
LANGUAGE_PT	Português
LANGUAGE_RO	Romeno
LANGUAGE_RU	Russo
LANGUAGE_SELECT	Selecionar idioma
LANGUAGE_TR	Turco
M2DEV_FIGURE_TEXT	Feito para a comunidade com carinho.
MODAL_FAQ_GROUP_TYPE_NORMAL_BODY	O Tipo Normal é um agrupamento de itens onde recebes um item aleatório do grupo com base na percentagem definida em cada item. Quanto maior a percentagem, maior a probabilidade de o receberes.
MODAL_FAQ_GROUP_TYPE_NORMAL_TITLE	O que é o tipo Normal?
MODAL_FAQ_GROUP_TYPE_PCT_BODY	O Tipo Percentagem é um agrupamento de itens onde recebes todos os itens do grupo com base na percentagem de cada item. Isto significa que, se todos os itens tiverem 100% de probabilidade, recebes todos.
MODAL_FAQ_GROUP_TYPE_PCT_TITLE	O que é o tipo Percentagem?
MODAL_FAQ_GROUP_TYPE_QUEST_BODY	O Tipo Missão é usado principalmente para missões. Estes grupos são usados para conter itens necessários numa masmorra, como bilhetes. Também pode ser usado para múltiplos itens de missão que acionam ou executam uma função.
MODAL_FAQ_GROUP_TYPE_QUEST_TITLE	O que é o tipo Missão?
MODAL_FAQ_GROUP_TYPE_SPECIAL_BODY	O Tipo Especial é um agrupamento usado para armazenar valores de bónus de itens específicos. Podes definir que bónus um certo item tem. É comum em amuletos, anéis e outros itens de reforço.
MODAL_FAQ_GROUP_TYPE_SPECIAL_TITLE	O que é o tipo Especial?
MODAL_FAQ_TITLE	Tipos de Grupo
PROTO_VERSION	Versão do Proto: %s
RESET_SEARCH_AFTER_ADDING_ITEM	Reiniciar campo de pesquisa após adicionar item.
SAVE_GROUP_NAME_LABEL	Guardar nome do grupo importado.
SUB_TITLE_PARAGRAPH	Uma ferramenta criada e desenhada para facilitar e poupar tempo.
TABLE_ITEM_AMOUNT	Quantidade
TABLE_ITEM_ICON	Ícone
TABLE_ITEM_PART_PCT	Parte %
TABLE_ITEM_POS	N.º
TABLE_ITEM_RARE_PCT	Raro %
TABLE_ITEM_VNUM	N.º V.
