APP_VERSION	Versiunea aplicației: %s
CHECKBOX_ANSI	Codificare ANSI
CHECKBOX_SHOW_ITEM_NAME_ON_GROUP	Afișează numele obiectului în grup ca un comentariu.
CHECKBOX_SHOW_ORIGINAL_GOLD_EXP_NAME	Păstrează numele originale pentru aur și experiență.
CLOSE	Închide
CLOSE_ALERT	Închide
COPYRIGHT	Toate drepturile rezervate.
COPYRIGHT_PARAGRAPH	Realizat cu multă cafea și dragoste.
EXPORT_BUTTON	Exportă grupul
GROUP_BLOCK_OUTPUT_PLACEHOLDER	Grupul tău va fi procesat aici în acest bloc.
GROUP_DESCRIPTION	Datele principale ale grupului: numele și VNUM-ul obiectului.
GROUP_ITEM_SEARCH_PLACEHOLDER	Clic aici pentru a căuta obiecte
GROUP_NAME	Nume
GROUP_NAME_PLACEHOLDER	Numele grupului
GROUP_RESULT_TITLE	Rezultatul grupului
GROUP_TITLE	Grup
GROUP_TYPE	Tip
GROUP_TYPE_NONE	Alege...
GROUP_TYPE_NORMAL	Normal
GROUP_TYPE_PERCENTAGE	Procentaj
GROUP_TYPE_QUEST	Misiune
GROUP_TYPE_SPECIAL	Special
IMPORT_BUTTON	Importă
IMPORT_PARAGRAPH	Poți importa grupul tău și vizualiza toate câmpurile în detaliu, inclusiv pictogramele.
IMPORT_TEXTAREA_PLACEHOLDER	Lipește aici grupul tău
IMPORT_TITLE	Importă
IMPORT_WARNING_ALERT	Importă un singur grup odată – este posibilă procesarea unui singur grup simultan.
INFO_WARNING	Această unealtă este în <b>versiune beta</b>, pot apărea erori. Te rugăm să raportezi eventualele probleme pentru a contribui la îmbunătățirea ei.
ITEM_ADD_BUTTON	Adaugă obiect
ITEM_AMOUNT	Cantitate
ITEM_AMOUNT_PLACEHOLDER	Cant.
ITEM_AMOUNT_PLACEHOLDER2	Cantitatea de obiecte.
ITEM_PARAGRAPH	Toate obiectele grupului pot fi definite și vizualizate mai jos.
ITEM_PART_PCT	Procent parte
ITEM_PART_PCT_PLACEHOLDER1	%
ITEM_PART_PCT_PLACEHOLDER2	Procentul de șansă pentru o parte.
ITEM_RARE_PCT	Procent rar
ITEM_RARE_PCT_PLACEHOLDER1	%
ITEM_RARE_PCT_PLACEHOLDER2	Procentul de șansă pentru bonus.
ITEM_SEARCH_PLACEHOLDER	Clic aici pentru a căuta obiecte
ITEM_TITLE	Obiecte
LANGUAGE_AE	Arabă
LANGUAGE_CZ	Cehă
LANGUAGE_DE	Germană
LANGUAGE_EN	Engleză
LANGUAGE_ES	Spaniolă
LANGUAGE_FR	Franceză
LANGUAGE_GR	Greacă
LANGUAGE_HU	Maghiară
LANGUAGE_IT	Italiană
LANGUAGE_PL	Poloneză
LANGUAGE_PT	Portugheză
LANGUAGE_RO	Română
LANGUAGE_RU	Rusă
LANGUAGE_SELECT	Selectează limba
LANGUAGE_TR	Turcă
M2DEV_FIGURE_TEXT	Creat cu drag pentru comunitate.
MODAL_FAQ_GROUP_TYPE_NORMAL_BODY	Tipul „Normal” este un grup de obiecte din care primești unul aleatoriu, în funcție de procentul setat pentru fiecare. Cu cât procentul este mai mare, cu atât șansa de a-l primi este mai mare.
MODAL_FAQ_GROUP_TYPE_NORMAL_TITLE	Ce este tipul Normal?
MODAL_FAQ_GROUP_TYPE_PCT_BODY	Tipul „Procentaj” îți oferă toate obiectele din grup conform procentajelor lor. Dacă toate au 100%, le vei primi pe toate.
MODAL_FAQ_GROUP_TYPE_PCT_TITLE	Ce este tipul Procentaj?
MODAL_FAQ_GROUP_TYPE_QUEST_BODY	Tipul „Misiune” este folosit în principal pentru misiuni – de exemplu, pentru obiecte necesare în dungeon-uri, cum ar fi biletele. Poți folosi acest tip pentru a declanșa funcții prin mai multe obiecte.
MODAL_FAQ_GROUP_TYPE_QUEST_TITLE	Ce este tipul Misiune?
MODAL_FAQ_GROUP_TYPE_SPECIAL_BODY	Tipul „Special” este folosit pentru a stoca valori bonus pentru anumite obiecte – de exemplu, amulete, inele sau alte obiecte cu efecte speciale.
MODAL_FAQ_GROUP_TYPE_SPECIAL_TITLE	Ce este tipul Special?
MODAL_FAQ_TITLE	Tipuri de grupuri
PROTO_VERSION	Versiunea Proto: %s
RESET_SEARCH_AFTER_ADDING_ITEM	Resetează câmpul de căutare după adăugarea unui obiect.
SAVE_GROUP_NAME_LABEL	Salvează numele grupului importat.
SUB_TITLE_PARAGRAPH	O unealtă creată pentru a economisi timp și a simplifica procesul.
TABLE_ITEM_AMOUNT	Cantitate
TABLE_ITEM_ICON	Pictogramă
TABLE_ITEM_PART_PCT	Parte %
TABLE_ITEM_POS	Nr.
TABLE_ITEM_RARE_PCT	Rar %
TABLE_ITEM_VNUM	Număr V
